Date,old_column,Column,Age_Range,Cases,Daily Cases,Diff
2020-02-29,ConfirmedCovidCases,Confirmed Covid Cases,,1,NaN,
2020-02-29,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,1,NaN,
2020-02-29,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,1,NaN,-4021.0
2020-03-03,ConfirmedCovidCases,Confirmed Covid Cases,,1,NaN,0.0
2020-03-03,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,2,NaN,1.0
2020-03-03,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,2,NaN,1.0
2020-03-04,Male,Male,,1,,
2020-03-04,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,6,NaN,4.0
2020-03-04,Median_Age,Median Age,,13,,
2020-03-04,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,6,NaN,4.0
2020-03-04,Aged85up,Aged,85+,0,,
2020-03-04,HospitalisedCovidCases,Hospitalised Covid Cases,,0,,
2020-03-04,Aged75to84,Aged,75-84,0,,
2020-03-04,RequiringICUCovidCases,Requiring Covid Cases,,0,,
2020-03-04,Aged65to74,Aged,65-74,0,,
2020-03-04,HealthcareWorkersCovidCases,Healthcare Workers Covid Cases,,0,,
2020-03-04,Aged55to64,Aged,55-64,0,,
2020-03-04,Aged45to54,Aged,45-54,0,,
2020-03-04,HospitalisedAged5,Hospitalised Aged,1-4,0,,
2020-03-04,Aged35to44,Aged,35-44,0,,
2020-03-04,Aged25to34,Aged,25-34,0,,
2020-03-04,HospitalisedAged15to24,Hospitalised Aged,15-24,0,,
2020-03-04,Aged15to24,Aged,15-24,0,,
2020-03-04,HospitalisedAged25to34,Hospitalised Aged,25-34,0,,
2020-03-04,Aged5to14,Aged,5-14,1,,
2020-03-04,HospitalisedAged35to44,Hospitalised Aged,35-44,0,,
2020-03-04,Aged1to4,Aged,1-4,0,,
2020-03-04,HospitalisedAged45to54,Hospitalised Aged,45-54,0,,
2020-03-04,Unknown,Unknown,,0,,
2020-03-04,HospitalisedAged55to64,Hospitalised Aged,55-64,0,,
2020-03-04,Female,Female,,0,,
2020-03-04,HospitalisedAged65to74,Hospitalised Aged,65-74,0,,
2020-03-04,HospitalisedAged75to84,Hospitalised Aged,75-84,0,,
2020-03-04,HospitalisedAged5to14,Hospitalised Aged,5-14,0,,
2020-03-04,HospitalisedAged85up,Hospitalised Aged,85+,0,,
2020-03-04,ConfirmedCovidCases,Confirmed Covid Cases,,4,NaN,3.0
2020-03-05,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,13,NaN,7.0
2020-03-05,HealthcareWorkersCovidCases,Healthcare Workers Covid Cases,,1,1.0,
2020-03-05,Median_Age,Median Age,,49,36.0,
2020-03-05,Unknown,Unknown,,0,0.0,
2020-03-05,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,13,NaN,7.0
2020-03-05,RequiringICUCovidCases,Requiring Covid Cases,,0,0.0,
2020-03-05,HospitalisedAged5to14,Hospitalised Aged,5-14,0,0.0,
2020-03-05,Male,Male,,1,0.0,
2020-03-05,HospitalisedAged85up,Hospitalised Aged,85+,0,0.0,
2020-03-05,Aged25to34,Aged,25-34,0,0.0,
2020-03-05,Aged55to64,Aged,55-64,0,0.0,
2020-03-05,HospitalisedAged15to24,Hospitalised Aged,15-24,0,0.0,
2020-03-05,Aged5to14,Aged,5-14,1,0.0,
2020-03-05,HospitalisedAged35to44,Hospitalised Aged,35-44,0,0.0,
2020-03-05,Aged85up,Aged,85+,0,0.0,
2020-03-05,Aged75to84,Aged,75-84,0,0.0,
2020-03-05,Aged35to44,Aged,35-44,0,0.0,
2020-03-05,HospitalisedAged5,Hospitalised Aged,1-4,0,0.0,
2020-03-05,HospitalisedAged65to74,Hospitalised Aged,65-74,0,0.0,
2020-03-05,HospitalisedAged75to84,Hospitalised Aged,75-84,0,0.0,
2020-03-05,HospitalisedCovidCases,Hospitalised Covid Cases,,1,1.0,
2020-03-05,Aged65to74,Aged,65-74,0,0.0,
2020-03-05,HospitalisedAged45to54,Hospitalised Aged,45-54,1,1.0,
2020-03-05,ConfirmedCovidCases,Confirmed Covid Cases,,7,NaN,3.0
2020-03-05,Aged1to4,Aged,1-4,0,0.0,
2020-03-05,Aged45to54,Aged,45-54,1,1.0,
2020-03-05,HospitalisedAged55to64,Hospitalised Aged,55-64,0,0.0,
