Date,Column,Age Range,Cases,Daily Cases,Diff
2020-02-29,Confirmed Covid Cases,,1.0,,
2020-02-29,Total Confirmed Covid Cases,,1.0,,
2020-02-29,Aged,85+,,,
2020-02-29,Hospitalised Aged,25-34,,,
2020-02-29,Unknown,,,,
2020-02-29,Hospitalised Aged,15-24,,,
2020-02-29,Aged,1-4,,,
2020-02-29,Aged,55-64,,,
2020-02-29,Hospitalised Aged,85+,,,
2020-02-29,Hospitalised Aged,55-64,,,
2020-02-29,Hospitalised Aged,5-14,,,
2020-02-29,Aged,5-14,,,
2020-02-29,Total Confirmed Covid Cases,,1.0,,-4021.0
2020-02-29,Median Age,,,,
2020-02-29,Aged,45-54,,,
2020-02-29,Requiring Covid Cases,,,,
2020-02-29,Hospitalised Aged,1-4,,,
2020-02-29,Aged,15-24,,,
2020-02-29,Aged,25-34,,,
2020-02-29,Clusters Notified,,,,
2020-02-29,Hospitalised Aged,75-84,,,
2020-02-29,Hospitalised Aged,65-74,,,
2020-02-29,Aged,35-44,,,
2020-02-29,Healthcare Workers Covid Cases,,,,
2020-02-29,Total Covid Deaths,,0.0,,
2020-02-29,Aged,65-74,,,
2020-02-29,Hospitalised Covid Cases,,,,
2020-02-29,Hospitalised Aged,35-44,,,
2020-02-29,Confirmed Covid Deaths,,0.0,,
2020-02-29,Female,,,,
2020-02-29,Hospitalised Aged,45-54,,,
2020-02-29,Aged,75-84,,,
2020-02-29,Male,,,,
2020-03-03,Aged,25-34,,,
2020-03-03,Aged,55-64,,,
2020-03-03,Hospitalised Covid Cases,,,,
2020-03-03,Confirmed Covid Deaths,,0.0,,0.0
2020-03-03,Hospitalised Aged,75-84,,,
2020-03-03,Hospitalised Aged,85+,,,
2020-03-03,Female,,,,
2020-03-03,Hospitalised Aged,1-4,,,
2020-03-03,Hospitalised Aged,55-64,,,
2020-03-03,Hospitalised Aged,5-14,,,
2020-03-03,Clusters Notified,,,,
2020-03-03,Hospitalised Aged,35-44,,,
2020-03-03,Hospitalised Aged,65-74,,,
2020-03-03,Requiring Covid Cases,,,,
2020-03-03,Aged,5-14,,,
2020-03-03,Aged,75-84,,,
2020-03-03,Aged,45-54,,,
2020-03-03,Total Confirmed Covid Cases,,2.0,,1.0
2020-03-03,Median Age,,,,
2020-03-03,Aged,1-4,,,
2020-03-03,Aged,15-24,,,
2020-03-03,Aged,85+,,,
2020-03-03,Confirmed Covid Cases,,1.0,,0.0
2020-03-03,Healthcare Workers Covid Cases,,,,
2020-03-03,Aged,35-44,,,
2020-03-03,Hospitalised Aged,25-34,,,
2020-03-03,Male,,,,
2020-03-03,Total Covid Deaths,,0.0,,0.0
2020-03-03,Hospitalised Aged,15-24,,,
2020-03-03,Unknown,,,,
2020-03-03,Total Confirmed Covid Cases,,2.0,,1.0
2020-03-03,Hospitalised Aged,45-54,,,
2020-03-03,Aged,65-74,,,
2020-03-04,Hospitalised Aged,75-84,0.0,,
2020-03-04,Confirmed Covid Deaths,,0.0,,0.0
2020-03-04,Median Age,,13.0,,
2020-03-04,Hospitalised Aged,45-54,0.0,,
2020-03-04,Requiring Covid Cases,,0.0,,
2020-03-04,Aged,15-24,0.0,,
2020-03-04,Total Covid Deaths,,0.0,,0.0
2020-03-04,Hospitalised Aged,1-4,0.0,,
2020-03-04,Hospitalised Aged,35-44,0.0,,
2020-03-04,Total Confirmed Covid Cases,,6.0,,4.0
2020-03-04,Aged,65-74,0.0,,
2020-03-04,Total Confirmed Covid Cases,,6.0,,4.0
2020-03-04,Aged,45-54,0.0,,
